+//3//f/9AF8-id,District,Post Office,Postal/Pin Code,Post Office Type,Latitude,Longitude
1,Achham,Achham,10700,D.P.O.,29.2003365,81.2768206
2,Achham,Chaurpati,10701,A.P.O.,29.2024646,81.1282174
3,Achham,Srikot,10702,A.P.O.,29.0664802,81.2934887
4,Achham,Thanti,10703,A.P.O.,29.0664802,81.2934887
5,Achham,Mellekh,10704,A.P.O.,29.2670531,81.3191797
6,Achham,Bayalpata,10705,A.P.O.,29.2017581,81.2310175
7,Achham,Bhatakatiya,10706,A.P.O.,29.2025994,81.4094566
8,Achham,Jayagadh,10707,A.P.O.,29.1933913,81.3000082
9,Achham,Kalagaun,10709,A.P.O.,29.1565573,81.3374854
10,Achham,Kuchikot,10710,A.P.O.,29.0664802,81.2934887
11,Achham,Kamal bazar,10711,A.P.O.,29.0523645,81.3405529
12,Achham,Dhakari,10712,A.P.O.,28.9769828,81.2246906
13,Achham,Turmakhad,10713,A.P.O.,28.8874079,81.4882467
14,Arghakhanchi,Arghakhanchi,32700,D.P.O.,27.9856727,83.1224498
15,Arghakhanchi,Balkot,32701,A.P.O.,27.9708677,83.2443328
16,Arghakhanchi,Arghatosh,32702,A.P.O.,28.0311121,83.1953317
17,Arghakhanchi,Khana,32703,A.P.O.,28.0398939,83.1241067
18,Arghakhanchi,Wangla,32704,A.P.O.,27.9799861,83.1547392
19,Arghakhanchi,Hamshapur,32705,A.P.O.,27.9318733,83.1459594
20,Arghakhanchi,Thada,32706,A.P.O.,27.861368,83.09597
21,Arghakhanchi,Khilji,32708,A.P.O.,27.9318733,83.1459594
22,Arghakhanchi,Khidim,32709,A.P.O.,27.9318733,83.1459594
23,Arghakhanchi,Pali,32710,A.P.O.,27.92734,83.22826
24,Arghakhanchi,Dhikura,32711,A.P.O.,27.9318733,83.1459594
25,Arghakhanchi,Argha,32712,A.P.O.,28.0141524,83.1062954
26,Arghakhanchi,Subarnakhal,32713,A.P.O.,27.9318733,83.1459594
27,Baglung,Baglung,33300,D.P.O.,28.2651055,83.6029924
28,Baglung,Pala,33302,A.P.O.,28.2721764,83.5528922
29,Baglung,Bihukot,33303,A.P.O.,28.3562466,83.1426241
30,Baglung,Harichaur,33304,A.P.O.,28.3562466,83.1426241
31,Baglung,Balewa Payupata,33305,A.P.O.,28.3562466,83.1426241
32,Baglung,Jaidi Belbagar,33306,A.P.O.,28.3562466,83.1426241
33,Baglung,Bereng,33307,A.P.O.,28.3562466,83.1426241
34,Baglung,Galkot,33308,A.P.O.,28.2505321,83.3823394
